player_name,season,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_pct,three_point_pct,free_throw_pct,plus_minus,all_star,prior_all_star_selections
Michael Porter Jr.,2023-24,DEN,26.0,81,31.7,16.7,7.0,1.5,0.5,0.7,1.1,0.484,0.397,0.836,5.8,0,0
Mikal Bridges,2019-20,PHX,23.0,73,28.0,9.1,4.0,1.8,1.4,0.6,1.0,0.51,0.361,0.844,1.6,0,0
Mikal Bridges,2020-21,PHX,24.0,72,32.6,13.5,4.3,2.1,1.1,0.9,0.8,0.543,0.425,0.84,4.7,0,0
Mikal Bridges,2021-22,PHX,25.0,82,34.8,14.2,4.2,2.3,1.2,0.4,0.8,0.534,0.369,0.834,7.0,0,0
Mikal Bridges,2022-23,BKN,26.0,83,35.7,20.1,4.4,3.3,1.1,0.7,1.5,0.468,0.382,0.895,0.4,0,0
Mikal Bridges,2023-24,BKN,27.0,82,34.8,19.6,4.5,3.6,1.0,0.4,2.0,0.436,0.372,0.814,-2.3,0,0
Mike Conley,2019-20,UTA,32.0,47,29.0,14.4,3.2,4.4,0.8,0.1,2.0,0.409,0.375,0.827,1.6,0,0
Mike Conley,2020-21,UTA,33.0,51,29.4,16.2,3.5,6.0,1.4,0.2,1.9,0.444,0.412,0.852,10.7,1,0
Mike Conley,2021-22,UTA,34.0,72,28.6,13.7,3.0,5.3,1.3,0.3,1.7,0.435,0.408,0.796,4.8,0,1
Mike Conley,2022-23,MIN,35.0,67,30.3,11.9,2.7,6.7,1.1,0.2,1.5,0.428,0.385,0.834,0.9,0,1
Mike Conley,2023-24,MIN,36.0,76,28.9,11.4,2.9,5.9,1.2,0.2,1.3,0.457,0.442,0.911,3.6,0,1
Mike Muscala,2020-21,OKC,29.0,35,18.4,9.7,3.8,0.8,0.2,0.3,0.6,0.446,0.37,0.917,0.5,0,0
Mike Muscala,2022-23,BOS,31.0,63,15.0,6.1,3.2,0.8,0.2,0.4,0.4,0.449,0.391,0.769,3.2,0,0
Mike Scott,2019-20,PHI,31.0,68,17.8,6.0,3.6,0.8,0.3,0.1,0.4,0.426,0.369,0.811,2.1,0,0
Mike Scott,2020-21,PHI,32.0,51,16.7,4.2,2.4,0.8,0.5,0.3,0.4,0.36,0.342,0.667,-0.2,0,0
Miles Bridges,2019-20,CHA,22.0,65,30.7,13.0,5.6,1.8,0.6,0.7,1.5,0.424,0.33,0.809,-6.1,0,0
Miles Bridges,2020-21,CHA,23.0,66,29.3,12.7,6.0,2.2,0.7,0.8,1.6,0.503,0.4,0.867,-0.1,0,0
Miles Bridges,2021-22,CHA,24.0,80,35.5,20.2,7.0,3.8,0.9,0.8,1.9,0.491,0.331,0.802,1.8,0,0
Miles Bridges,2023-24,CHA,26.0,69,37.4,21.0,7.3,3.3,0.9,0.5,2.0,0.462,0.349,0.825,-9.2,0,0
Miles McBride,2023-24,NYK,23.0,68,19.5,8.3,1.5,1.7,0.7,0.1,0.4,0.452,0.41,0.86,-0.2,0,0
Mitchell Robinson,2019-20,NYK,22.0,61,23.2,9.7,7.0,0.6,0.9,2.0,0.6,0.742,0.0,0.568,-1.8,0,0
Mitchell Robinson,2020-21,NYK,23.0,31,27.5,8.3,8.1,0.5,1.1,1.5,0.8,0.653,0.0,0.491,-0.5,0,0
Mitchell Robinson,2021-22,NYK,24.0,72,25.7,8.5,8.6,0.5,0.8,1.8,0.8,0.761,0.0,0.486,-1.1,0,0
Mitchell Robinson,2022-23,NYK,25.0,59,26.9,7.4,9.4,0.9,0.9,1.8,0.7,0.671,0.0,0.484,3.1,0,0
Mitchell Robinson,2023-24,NYK,26.0,31,24.8,5.6,8.5,0.6,1.2,1.1,0.8,0.575,0.0,0.409,0.4,0,0
Mo Bamba,2020-21,ORL,23.0,46,15.8,8.0,5.8,0.8,0.3,1.3,0.8,0.472,0.322,0.682,-4.4,0,0
Mo Bamba,2021-22,ORL,24.0,71,25.7,10.6,8.1,1.2,0.5,1.7,1.1,0.48,0.381,0.781,-5.3,0,0
Mo Bamba,2022-23,LAL,25.0,49,15.7,6.6,4.6,0.9,0.3,0.9,0.6,0.485,0.387,0.661,0.2,0,0
Monte Morris,2019-20,DEN,25.0,73,22.4,9.0,1.9,3.5,0.8,0.2,0.7,0.459,0.378,0.843,0.7,0,0
Monte Morris,2020-21,DEN,26.0,47,25.5,10.2,2.0,3.2,0.7,0.3,0.7,0.481,0.381,0.795,3.3,0,0
